Date,Open,High,Low,Close,Volume,Predicted price
1/1/2020,7194.89209,7254.330566,7174.944336,7200.174316,18565664997,7200.174316
1/2/2020,7202.55127,7212.155273,6935.27002,6985.470215,20802083465,6985.470215
1/3/2020,6984.428711,7413.715332,6914.996094,7344.884277,28111481032,7344.884277
1/4/2020,7345.375488,7427.385742,7309.51416,7410.656738,18444271275,7410.656738
1/5/2020,7410.45166,7544.49707,7400.535645,7411.317383,19725074095,7411.317383
1/6/2020,7410.452148,7781.867188,7409.292969,7769.219238,23276261598,7769.219238
1/7/2020,7768.682129,8178.21582,7768.227539,8163.692383,28767291327,8163.692383
1/8/2020,8161.935547,8396.738281,7956.774414,8079.862793,31672559265,8079.862793
1/9/2020,8082.295898,8082.295898,7842.403809,7879.071289,24045990466,7879.071289
1/10/2020,7878.307617,8166.554199,7726.774902,8166.554199,28714583844,8166.554199
1/11/2020,8162.190918,8218.359375,8029.64209,8037.537598,25521165085,8037.537598
1/12/2020,8033.261719,8200.063477,8009.059082,8192.494141,22903438381,8192.494141
1/13/2020,8189.771973,8197.788086,8079.700684,8144.194336,22482910688,8144.194336
1/14/2020,8140.933105,8879.511719,8140.933105,8827.764648,44841784107,8827.764648
1/15/2020,8825.34375,8890.117188,8657.1875,8807.010742,40102834650,8807.010742
1/16/2020,8812.481445,8846.460938,8612.095703,8723.786133,31313981931,8723.786133
1/17/2020,8725.209961,8958.12207,8677.316406,8929.038086,36372139320,8929.038086
1/18/2020,8927.211914,9012.198242,8827.332031,8942.808594,32337772627,8942.808594
1/19/2020,8941.445313,9164.362305,8620.080078,8706.245117,34217320471,8706.245117
1/20/2020,8704.631836,8745.59082,8560.473633,8657.642578,26422375678,8657.642578
1/21/2020,8658.991211,8755.706055,8544.520508,8745.894531,24097418512,8745.894531
1/22/2020,8744.210938,8792.994141,8636.74707,8680.875977,22600204051,8680.875977
1/23/2020,8680.650391,8687.74707,8333.637695,8406.515625,25770680779,8406.515625
1/24/2020,8405.567383,8514.666992,8266.84082,8445.43457,24397913026,8445.43457
1/25/2020,8440.119141,8458.453125,8296.21875,8367.847656,19647331549,8367.847656
1/26/2020,8364.410156,8602.401367,8325.498047,8596.830078,22177678796,8596.830078
1/27/2020,8597.308594,8977.726563,8597.308594,8909.819336,28647338393,8909.819336
1/28/2020,8912.524414,9358.589844,8908.447266,9358.589844,34398744403,9358.589844
1/29/2020,9357.470703,9406.431641,9269.467773,9316.629883,30682598115,9316.629883
1/30/2020,9316.016602,9553.125977,9230.897461,9508.993164,32378792851,9508.993164
1/31/2020,9508.313477,9521.706055,9230.776367,9350.529297,29432489719,9350.529297
2/1/2020,9346.357422,9439.323242,9313.239258,9392.875,25922656496,9392.875
2/2/2020,9389.820313,9468.797852,9217.824219,9344.365234,30835736946,9344.365234
2/3/2020,9344.683594,9540.37207,9248.633789,9293.521484,30934096509,9293.521484
2/4/2020,9292.841797,9331.265625,9112.811523,9180.962891,29893183716,9180.962891
2/5/2020,9183.416016,9701.299805,9163.704102,9613.423828,35222060874,9613.423828
2/6/2020,9617.821289,9824.619141,9539.818359,9729.801758,37628823716,9729.801758
2/7/2020,9726.00293,9834.716797,9726.00293,9795.943359,34522718159,9795.943359
